timestamp,origin,destination,summary_route,travel_time_seconds,travel_time_minutes,distance_meters,distance_km
2025-05-26T20:12:02.966684,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,856,14.27,6545,6.54
2025-05-26T20:12:03.408490,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2450,40.83,16860,16.86
2025-05-26T20:12:03.691572,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,261,4.35,1167,1.17
2025-05-26T20:12:04.103079,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1909,31.82,12280,12.28
2025-05-26T20:12:04.715267,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1802,30.03,14557,14.56
2025-05-26T20:17:07.347521,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Kaifi Azmi Road,2823,47.05,17799,17.8
2025-05-26T20:17:07.702380,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1014,16.9,5825,5.83
2025-05-26T20:17:08.124257,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,763,12.72,3165,3.17
2025-05-26T20:17:08.601990,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,561,9.35,3160,3.16
2025-05-26T20:17:09.405944,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3099,51.65,19493,19.49
2025-05-26T20:17:09.939593,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,840,14.0,6545,6.54
2025-05-26T20:17:10.475387,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2512,41.87,16860,16.86
2025-05-26T20:17:11.002564,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,269,4.48,1167,1.17
2025-05-26T20:17:11.535698,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1901,31.68,12280,12.28
2025-05-26T20:17:12.327930,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1778,29.63,14557,14.56
2025-05-26T20:22:13.976454,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Kaifi Azmi Road,2762,46.03,17799,17.8
2025-05-26T20:22:14.772087,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,900,15.0,5825,5.83
2025-05-26T20:22:15.670759,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,749,12.48,3134,3.13
2025-05-26T20:22:16.114227,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,546,9.1,3160,3.16
