timestamp,travel_time_seconds,travel_time_minutes,distance_meters,distance_km,hour_of_day,day_of_week,day_of_month,month,year,is_weekend,is_morning_rush_hour,is_evening_rush_hour,is_rush_hour,speed_kmph,avg_aqi_value,pm25,pm10,o3,co,so2,no2,"origin_Gachibowli, Hyderabad, Telangana","origin_Jubilee Hills Check Post, Hyderabad, Telangana","origin_Koti, Hyderabad, Telangana","origin_LB Nagar, Hyderabad, Telangana","origin_MGBS, Hyderabad, Telangana","origin_Miyapur, Hyderabad, Telangana","origin_Paradise Circle, Secunderabad, Telangana","origin_Secunderabad Railway Station, Malkajgiri, Secunderabad","origin_Secunderabad Railway Station, Secunderabad, Telangana","destination_Banjara Hills Road No 12, Hyderabad, Telangana","destination_Begum Bazaar, Hyderabad, Telangana","destination_Dilsukhnagar, Hyderabad, Telangana","destination_ECIL X Road, Hyderabad, Telangana","destination_Financial District, Hyderabad, Telangana","destination_Hitech City, Hyderabad, Telangana","destination_Keesara, Hyderabad, Telangana","destination_Kukatpally Housing Board, Hyderabad, Telangana","destination_MG Road, Secunderabad, Telangana",summary_route_Begumpet Rd,summary_route_Cheeriyal Main Rd/Road No. 10,summary_route_ECIL - Keesara Rd,summary_route_Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,summary_route_ISB Rd,summary_route_Kaifi Azmi Road,summary_route_Kukatpally Housing Board - Hitech City Rd,summary_route_LV Prasad Marg/Road No. 2,summary_route_Lalapet - Moula Ali Rd,summary_route_Malakunta Road,summary_route_NH 44,summary_route_NH 65,summary_route_Road No. 36
2025-05-26 17:28:40.374068,313,5.22,1167,1.17,17,0,26,5,2025,0,0,1,1,13.422364217252397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-26 17:28:40.137314,2646,44.1,16860,16.86,17,0,26,5,2025,0,0,1,1,22.93877551020408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-05-26 17:28:39.817190,906,15.1,6545,6.54,17,0,26,5,2025,0,0,1,1,26.00662251655629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2025-05-26 17:28:38.671998,1032,17.2,3160,3.16,17,0,26,5,2025,0,0,1,1,11.023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-05-26 17:28:38.355304,732,12.2,3127,3.13,17,0,26,5,2025,0,0,1,1,15.378688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2025-05-26 17:28:37.706851,1375,22.92,5825,5.83,17,0,26,5,2025,0,0,1,1,15.250909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2025-05-26 17:28:37.200243,3243,54.05,20328,20.33,17,0,26,5,2025,0,0,1,1,22.565772432932473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-26 17:28:39.485892,4743,79.05,19268,19.27,17,0,26,5,2025,0,0,1,1,14.624667931688807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-05-26 17:33:46.965961,2684,44.73,16860,16.86,17,0,26,5,2025,0,0,1,1,22.614008941877795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-05-26 17:33:48.707984,1730,28.83,14557,14.56,17,0,26,5,2025,0,0,1,1,30.292023121387285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2025-05-26 17:33:47.993407,2091,34.85,12280,12.28,17,0,26,5,2025,0,0,1,1,21.14203730272597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-05-26 17:33:47.374723,299,4.98,1167,1.17,17,0,26,5,2025,0,0,1,1,14.050836120401337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-26 17:33:46.454982,882,14.7,6545,6.54,17,0,26,5,2025,0,0,1,1,26.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2025-05-26 17:33:43.585218,3302,55.03,20328,20.33,17,0,26,5,2025,0,0,1,1,22.162568140520897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-05-26 17:33:45.021394,987,16.45,3160,3.16,17,0,26,5,2025,0,0,1,1,11.525835866261398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
